Country,1850-1865,1866-1880,1881-1895,1896-1910,1911-1925,1926-1940,1941-1955,1956-1970,1971-1985,1986-2000
Barbados,0.01,0.02,0.01,0.03,0.11,0.21,0.39,1.37,3.45,2.91
Martinique,0.2,0.36,0.3,0.66,1.68,3.27,6.31,7.01,7.73,5.71
"Bolivia, Plurinational State of",2.02,5.64,5.03,4.53,10.78,7.31,8.28,5.55,5.56,4.76
Guatemala,0.1,0.16,0.14,0.3,0.71,1.23,1.8,2.53,4.6,2.22
Qatar,0.02,0.05,0.33,4.34,11.2,27.78,38.0,12.86,15.09,25.21
Macao,0.0,0.01,0.02,0.07,0.14,0.11,0.11,0.31,0.22,4.79
Latvia,0.03,0.13,0.41,1.12,1.02,3.46,8.67,16.58,19.34,12.44
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.1,18.42,29.64,33.03,24.74
Ghana,0.0,0.04,0.09,0.14,0.26,0.4,0.65,1.29,1.77,0.96
Fiji,0.28,0.75,1.93,5.28,5.81,4.63,5.87,1.79,2.94,2.05
Bhutan,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.07,0.54
Malaysia,0.0,0.01,0.01,0.03,4.83,13.96,14.61,7.56,5.43,6.25
Germany,5.64,12.32,21.34,28.49,30.93,31.12,40.14,48.84,48.03,21.98
Liechtenstein,1.74,2.97,4.3,5.94,6.58,7.02,8.09,9.53,7.58,2.39
Namibia,8.31,73.1,163.15,290.29,392.47,530.74,354.63,722.76,451.15,128.24
Madagascar,0.01,0.06,0.11,0.17,0.39,0.84,0.92,1.21,2.76,1.55
Kenya,0.0,0.01,0.03,0.05,0.13,0.24,0.25,2.1,2.66,1.34
Iceland,11.88,20.3,29.43,40.64,44.99,48.05,48.86,67.08,34.51,20.79
