Country,1997-2000,2001-2004,2005-2008,2009-2012,2013-2015,2016-2018,2019-2021
Bosnia and Herzegovina,,0.02,0.02,0.14,0.26,0.2,0.19
Switzerland,2.26,2.61,2.65,2.87,3.08,3.08,3.28
Argentina,0.43,0.41,0.45,0.59,0.61,0.53,0.51
Azerbaijan,0.38,0.32,0.18,0.22,0.21,0.19,0.21
India,0.72,0.73,0.82,0.78,0.7,0.67,0.65
"Iran, Islamic Republic of",,0.52,0.61,0.28,0.31,0.76,0.79
Latvia,0.38,0.39,0.58,0.61,0.64,0.53,0.7
"Tanzania, United Republic of",,,0.33,0.37,0.51,,
Cuba,0.46,0.58,0.48,0.48,0.44,0.44,0.46
Honduras,0.04,0.04,,,0.01,0.05,0.06
Pakistan,0.12,0.18,0.52,0.39,0.27,0.21,0.17
Greenland,,0.56,,,,,
Lesotho,,0.05,,0.02,0.05,,
Armenia,0.2,0.28,0.23,0.26,0.24,0.22,0.2
Kenya,,,0.36,0.69,,,
Nigeria,,,0.13,,,,0.28
Bermuda,0.06,,0.16,0.21,0.19,0.23,0.24
Malta,,0.32,0.54,0.64,0.72,0.56,0.63
South Africa,0.53,0.68,0.79,0.69,0.7,0.73,0.61
"Venezuela, Bolivarian Republic of",,,0.24,0.21,0.37,0.69,
Sudan,0.5,0.3,0.22,,,,
Mozambique,,0.37,0.28,0.39,0.31,,
Papua New Guinea,,,,,,0.03,
Zambia,0.01,0.01,0.15,,,,
Philippines,,0.13,0.11,0.11,0.14,0.32,
China,0.73,1.08,1.37,1.77,2.03,2.12,2.36
Slovakia,0.77,0.56,0.47,0.63,0.95,0.84,0.88
France,2.11,2.13,2.05,2.2,2.25,2.21,2.23
Egypt,0.19,0.27,0.26,0.48,0.66,0.68,0.87
