Country,1991-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-2019,2020-2023
Cambodia,,4.91,7.14,5.2,5.17,5.58,2.32
India,3.02,4.11,4.7,5.43,5.12,5.22,3.66
Lesotho,,,,-0.12,-0.0,-0.36,-2.59
"Bolivia, Plurinational State of",2.51,1.66,1.01,2.63,4.12,2.52,-1.25
Cuba,-7.31,4.29,4.92,5.23,2.91,1.09,
Timor-Leste,,,6.04,22.24,-9.11,2.14,-10.06
North Macedonia,-4.0,2.35,2.23,4.74,2.43,2.71,1.4
Portugal,,3.13,0.76,0.25,0.06,3.08,1.29
Ghana,,,,3.63,4.29,3.46,1.86
Uruguay,3.77,2.78,-0.27,5.58,2.96,0.73,0.27
Slovenia,,3.98,3.37,1.19,0.02,4.17,0.28
Bahrain,,,0.27,-1.93,2.4,0.5,-0.05
Nicaragua,8.1,4.66,2.27,1.22,3.67,-0.65,2.47
Argentina,4.74,1.28,-0.62,6.06,0.72,-2.52,0.55
Mongolia,,,,,8.29,1.86,0.72
Eritrea,8.44,0.96,-0.8,-2.72,5.68,,
Switzerland,,2.4,1.17,0.93,-0.3,-0.74,1.87
Panama,,,,,,0.86,2.54
Finland,,4.9,1.82,0.17,-0.21,1.73,-0.28
Palau,,,3.47,-0.35,4.9,-0.21,-7.44
Sweden,0.04,3.47,1.9,1.54,0.86,1.32,1.94
