Country,1963-1969,1970-1975,1976-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
Cambodia,,,,,2.57,1.33,-0.79,-5.1,-8.84,-19.49
Bahamas,0.17,9.79,10.44,6.17,9.98,9.37,6.34,10.3,18.69,24.15
"Congo, The Democratic Republic of the",8.07,5.65,9.48,6.51,13.9,1.26,0.29,0.3,2.1,1.99
France,,,,,,,8.19,7.12,13.17,25.61
Pakistan,22.65,21.68,22.33,23.32,25.08,24.25,10.22,14.93,26.2,33.28
Bahrain,,-12.97,-15.59,-27.51,-22.62,-12.27,-3.92,-2.46,10.52,
Ghana,13.06,12.86,19.79,15.99,12.64,12.94,15.36,10.17,10.23,17.55
South Africa,9.8,11.23,14.04,11.13,10.58,14.89,24.85,15.74,16.24,16.76
Suriname,0.64,0.63,3.01,57.03,77.12,5.04,11.04,1.08,8.54,12.49
Guatemala,2.62,3.94,3.74,15.52,13.61,8.69,5.64,7.27,7.93,9.62
Uzbekistan,,,,,,,,,-33.7,-31.08
Antigua and Barbuda,,,11.61,10.9,9.54,10.37,11.07,11.33,11.86,10.41
Nigeria,4.56,1.64,6.17,9.22,8.36,5.78,0.05,-3.51,2.38,7.55
Iceland,1.56,0.64,1.6,1.41,5.66,3.15,-2.18,-8.65,-5.09,-6.25
Norway,12.03,12.0,10.28,0.96,-4.49,-3.26,-10.71,-11.99,-12.97,-15.66
Brazil,5.75,1.9,-5.29,-9.44,32.02,14.82,40.39,34.12,31.05,48.64
Mongolia,,,,,0.21,1.51,-0.82,-10.81,-2.14,-3.79
