Country,1964-1975,1976-1987,1988-1998,1999-2009,2010-2020
Palau,,,,0.0,0.0
Nicaragua,0.02,0.0,0.27,0.01,0.1
Costa Rica,0.02,0.01,0.01,0.08,0.14
Namibia,,,,0.27,0.28
Lesotho,,,,0.0,0.02
Honduras,0.04,0.01,0.07,0.03,0.04
Gambia,0.81,1.85,0.31,1.19,2.08
Kenya,7.77,5.9,1.15,2.05,2.62
Djibouti,,0.16,1.38,2.18,5.41
Azerbaijan,,,7.39,2.64,2.37
San Marino,,,,,0.02
French Polynesia,,,,0.15,0.22
Saint Lucia,,,0.02,0.03,0.01
Solomon Islands,,,0.0,0.23,0.01
Benin,3.03,1.52,1.95,1.07,1.96
Greece,4.97,10.22,5.46,5.14,10.96
Ireland,2.56,0.81,0.27,0.23,0.47
North Macedonia,,,1.37,0.36,0.54
Luxembourg,,,0.12,0.08,0.05
Pakistan,2.23,1.72,2.61,3.2,2.1
Poland,1.08,1.85,1.65,0.22,0.26
Syrian Arab Republic,14.04,19.66,4.76,7.9,9.81
Greenland,0.14,0.01,0.04,0.02,0.03
Australia,1.28,0.67,0.14,0.21,0.33
Eritrea,,,,5.32,4.58
Denmark,1.79,0.89,0.26,0.07,0.18
Lebanon,14.32,1.5,8.44,7.36,6.78
