Country,1961-1969,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2023
Brunei Darussalam,,9.55,-0.16,2.2,1.59,0.39,0.19
Guam,,,,,3.67,0.83,0.03
Kyrgyzstan,,,3.3,-3.77,4.48,4.81,3.87
Poland,,,,2.96,3.95,3.83,3.73
Guatemala,5.5,5.99,0.73,3.92,3.55,3.74,3.45
South Sudan,,,,,,-3.95,-10.79
Nepal,2.52,2.63,3.48,5.33,3.97,4.43,4.19
Lesotho,5.54,9.13,2.32,5.86,2.62,3.6,-0.3
Sweden,4.45,2.29,2.4,1.23,3.28,1.75,2.17
Norway,4.44,4.47,3.57,2.94,2.71,1.29,1.51
Afghanistan,,,,,8.13,8.93,-2.23
North Macedonia,,,,-3.65,2.64,3.17,1.96
"Congo, The Democratic Republic of the",3.73,0.26,2.15,-4.89,0.1,6.63,5.41
Morocco,9.43,5.4,4.27,4.45,3.93,4.4,2.35
Libya,25.26,8.0,-3.55,3.28,3.64,0.96,14.1
"Bolivia, Plurinational State of",5.54,5.1,-1.21,4.02,3.15,5.06,2.58
Thailand,7.82,7.75,5.87,9.26,2.88,3.41,1.88
Australia,4.86,3.36,3.1,3.23,3.78,2.86,2.38
Jamaica,4.38,1.47,0.57,3.91,0.85,0.0,0.91
Hungary,10.03,5.73,1.92,-1.54,4.09,0.71,2.96
Malaysia,6.55,8.02,5.46,9.49,4.31,4.9,3.86
Papua New Guinea,6.44,4.12,1.55,5.6,0.29,5.89,2.63
Iceland,4.45,6.74,4.12,0.82,4.76,1.74,3.65
Macao,,,8.04,5.57,6.3,10.8,2.2
United Kingdom,3.13,2.52,2.46,2.2,3.16,1.12,1.4
Kenya,5.72,7.11,4.33,3.03,2.77,4.83,4.6
Lebanon,,,,10.82,2.82,5.32,-3.89
French Polynesia,4.27,5.56,3.02,-0.35,1.18,-0.78,1.56
Sri Lanka,4.72,3.98,4.79,4.66,4.61,6.63,0.86
Bosnia and Herzegovina,,,,10.56,9.97,2.02,3.09
