Country,1800-1833,1834-1867,1868-1901,1902-1935,1936-1968,1969-2001
Antigua and Barbuda,0.36,0.66,0.66,2.11,2.43,3.86
Liechtenstein,0.71,1.17,1.17,3.32,3.65,2.45
Canada,0.96,1.25,2.25,1.32,2.71,1.72
Austria,0.91,0.99,1.67,0.31,3.68,2.15
United Arab Emirates,0.33,0.58,0.58,2.39,6.83,0.77
Togo,0.26,0.47,0.47,0.1,1.98,-1.66
Luxembourg,0.71,1.17,1.17,3.39,2.7,3.26
"Palestine, State of",0.33,0.58,0.58,0.34,2.7,0.48
Peru,0.14,0.25,1.61,2.22,2.31,0.5
Anguilla,0.36,0.66,0.66,2.11,2.4,3.57
El Salvador,0.45,0.83,0.83,0.78,2.44,0.51
Guinea-Bissau,0.04,0.07,0.07,0.07,2.41,-1.03
Uruguay,1.28,2.24,0.63,0.8,1.2,1.49
Egypt,0.34,0.64,0.77,0.17,1.36,2.73
"Virgin Islands, British",0.36,0.66,0.66,1.88,1.86,8.52
Benin,0.26,0.47,0.47,0.65,-0.01,0.96
Belgium,0.45,1.79,1.03,0.34,3.79,1.9
Martinique,0.36,0.66,0.66,1.33,4.16,0.99
Bulgaria,0.31,0.56,1.33,0.25,4.02,1.12
Portugal,0.05,0.11,0.77,0.99,4.06,2.44
Greenland,0.71,1.17,1.17,3.31,5.44,1.86
Belarus,0.33,0.57,1.26,1.59,3.27,2.07
Morocco,0.29,0.54,0.54,1.69,1.19,1.88
Belize,0.36,0.66,0.66,1.33,1.89,2.94
Cameroon,0.26,0.47,0.47,0.83,1.55,0.52
